winner_type_1,winner_type_2,winner_fast_move,winner_charge_move_1,winner_charge_move_2,winner_fast_move_type,winner_charge_move_1_type,winner_charge_move_2_type,winner_dex,winner_attack,winner_defense,winner_stamina,winner_overall,loser_type_1,loser_type_2,loser_fast_move,loser_charge_move_1,loser_charge_move_2,loser_fast_move_type,loser_charge_move_1_type,loser_charge_move_2_type,loser_dex,loser_attack,loser_defense,loser_stamina,loser_overall
ground,flying,Fury Cutter,Earthquake,Aerial Ace,flying,flying,flying,472,115.7,143.9,116,85.7,water,ghost,Hex,Surf,Shadow Ball,electric,fighting,electric,593,106.7,124.3,157,92.8
fire,ghost,Incinerate,Torch Song,Shadow Ball,flying,flying,flying,911,121.2,109.2,139,84.5,fire,ghost,Incinerate,Shadow Ball,Flame Charge,ghost,water,ghost,937,136.9,114.0,105,71.5
ground,ghost,Mud Slap,Shadow Punch,Brick Break,flying,flying,flying,622,119.3,89.9,141,78.8,rock,none,Rock Throw,Rock Tomb,Rock Slide,ghost,water,ghost,438,116.8,124.4,127,70.3
electric,ice,Thunder Shock,Thunderbolt,Blizzard,flying,flying,flying,479,129.2,143.2,93,61.6,fairy,none,Zen Headbutt,Disarming Voice,Swift,ghost,water,ghost,35,102.5,103.4,157,39.5
normal,flying,Steel Wing,Sky Attack,Night Shade,flying,flying,flying,441,140.4,78.4,145,51.6,fighting,psychic,Psycho Cut,Ice Punch,Dynamic Punch,ghost,water,ghost,308,106.9,139.5,141,85.6
poison,ground,Poison Sting,Earthquake,Stone Edge,flying,flying,flying,980,94.2,119.4,209,92.1,dark,none,Snarl,Dark Pulse,Play Rough,ghost,water,ghost,510,140.9,89.3,126,58.0
ice,psychic,Confusion,Avalanche,Psyshock,flying,flying,flying,124,142.2,101.5,109,53.5,fighting,ghost,Counter,Rage Fist,Close Combat,dark,dark,fairy,979,123.9,106.3,137,86.8
bug,flying,Bug Bite,Aerial Ace,Ancient Power,flying,flying,flying,469,137.3,98.3,121,67.3,water,none,Bubble,Scald,Mud Bomb,dark,dark,fairy,61,115.1,114.3,148,73.2
grass,flying,Air Slash,Leaf Blade,Aerial Ace,flying,flying,flying,357,101.4,127.3,170,81.5,ghost,flying,Air Slash,Air Cutter,Aerial Ace,dark,dark,fairy,741,130.9,101.4,128,66.4
rock,none,Mud Slap,Rock Slide,Bulldoze,flying,flying,flying,525,123.3,110.7,131,64.2,ice,none,Ice Fang,Ice Punch,Ice Beam,dark,dark,fairy,554,132.0,83.5,154,68.2
bug,electric,Volt Switch,X-Scissor,Discharge,flying,flying,flying,737,116.1,132.4,126,82.3,normal,none,Sand Attack,Wild Charge,Crunch,dark,dark,fairy,508,125.8,114.7,124,72.5
psychic,flying,Dragon Tail,Fly,Aeroblast,flying,flying,flying,249,102.4,165.0,129,74.5,fire,ghost,Incinerate,Torch Song,Shadow Ball,dark,dark,fairy,911,121.2,109.2,139,84.5
grass,none,Leafage,Grass Knot,Play Rough,flying,flying,flying,907,124.9,111.0,129,58.1,water,none,Poison Jab,Drill Run,Icy Wind,dark,dark,fairy,119,123.1,105.9,140,75.8
ground,rock,Mud Slap,Breaking Swipe,Rock Wrecker,flying,flying,flying,464,126.8,105.5,132,77.9,fire,none,Ember,Weather Ball (Fire),Solar Beam,poison,ground,ice,351,113.4,119.6,146,82.5
rock,none,Rock Throw,Stone Edge,Rock Slide,flying,flying,flying,874,125.6,108.0,131,63.1,electric,none,Spark,Wild Charge,Flame Charge,poison,ground,ice,523,137.7,95.5,123,62.9
ghost,grass,Hex,Shadow Ball,Seed Bomb,flying,flying,flying,711,116.6,147.0,112,80.6,grass,none,Razor Leaf,Grass Knot,Earth Power,poison,ground,ice,812,133.5,97.7,129,66.0
electric,steel,Thunder Shock,Fell Stinger,Wild Charge,flying,flying,flying,777,132.1,105.6,121,89.8,bug,grass,Bug Bite,Energy Ball,Bug Buzz,poison,ground,ice,413,109.9,146.8,126,66.6
ground,none,Sand Attack,Weather Ball (Rock),Scorching Sands,flying,flying,flying,450,116.2,116.8,141,84.2,bug,flying,Bug Bite,Aerial Ace,Ancient Power,poison,ground,ice,469,137.3,98.3,121,67.3
normal,flying,Wing Attack,Air Cutter,Aerial Ace,flying,flying,flying,17,110.9,100.8,147,65.0,psychic,flying,Air Slash,Air Cutter,Ancient Power,poison,ground,ice,561,131.6,114.0,114,61.8
fire,flying,Incinerate,Brave Bird,Earthquake,flying,flying,flying,250,123.6,128.2,114,73.5,ice,none,Ice Shard,Triple Axel,Night Slash,flying,flying,rock,615,116.5,136.2,121,73.3
bug,flying,Bug Bite,Dynamic Punch,Aerial Ace,flying,flying,flying,166,101.9,161.2,134,83.2,water,none,Water Gun,Surf,Crunch,flying,flying,rock,516,136.6,94.5,126,61.7
ghost,grass,Hex,Shadow Ball,Seed Bomb,flying,flying,flying,711,116.6,136.9,121,81.1,poison,none,Poison Jab,Sludge,Mud Bomb,flying,flying,rock,88,121.5,88.0,171,78.8
ghost,poison,Shadow Claw,Shadow Punch,Sludge Bomb,flying,flying,flying,94,156.6,94.3,97,80.7,dragon,flying,Dragon Breath,Sky Attack,Moonblast,flying,flying,rock,334,103.4,153.3,136,81.7
fire,none,Incinerate,Flame Charge,Wild Charge,flying,flying,flying,78,134.7,110.9,111,77.9,grass,none,Bullet Seed,Sludge Bomb,Leaf Storm,dragon,flying,fairy,192,128.7,102.2,131,60.3
water,grass,Bubble,Scald,Grass Knot,flying,flying,flying,271,106.7,112.6,142,61.8,dark,psychic,Psywave,Superpower,Foul Play,dragon,flying,fairy,687,118.5,117.1,136,88.7
water,none,Rollout,Surf,Return,flying,flying,flying,321,119.6,66.8,235,80.8,poison,ground,Poison Sting,Earth Power,Poison Fang,dragon,flying,fairy,31,117.8,116.5,139,84.9
fairy,none,Vine Whip,Dazzling Gleam,Psychic,flying,flying,flying,669,103.4,113.4,119,53.0,water,ground,Mud Shot,Mud Bomb,Scald,dragon,flying,fairy,340,107.6,107.6,178,86.4
fire,none,Ember,Weather Ball (Fire),Overheat,flying,flying,flying,38,115.1,133.6,126,84.8,water,electric,Water Gun,Surf,Thunderbolt,water,water,electric,171,104.8,104.8,194,85.1
electric,steel,Volt Switch,Wild Charge,Mirror Shot,flying,flying,flying,462,134.9,120.1,102,83.4,electric,none,Thunder Shock,Ice Punch,Wild Charge,water,water,electric,466,144.0,98.0,110,82.9
ghost,grass,Hex,Shadow Ball,Seed Bomb,flying,flying,flying,711,115.8,128.8,130,82.0,poison,none,Infestation,Sludge,Dark Pulse,water,water,electric,109,112.6,131.1,113,57.8
ground,ghost,Mud Slap,Shadow Punch,Dynamic Punch,flying,flying,flying,623,133.9,96.7,129,87.3,steel,rock,Metal Sound,Rock Tomb,Thunder,water,water,electric,306,116.1,154.0,107,80.8
fighting,none,Counter,Close Combat,Brick Break,flying,flying,flying,891,136.6,95.6,125,66.9,electric,none,Thunder Shock,Wild Charge,Shadow Ball,water,water,electric,243,130.9,110.1,118,79.4
grass,none,Vine Whip,Leaf Blade,Brick Break,flying,flying,flying,673,119.2,95.0,165,82.2,bug,steel,Bug Bite,Drill Run,Razor Shell,water,water,electric,589,133.9,116.8,107,77.1
water,rock,Water Gun,Surf,Ancient Power,flying,flying,flying,564,113.9,132.0,130,67.2,rock,electric,Rollout,Wild Charge,Rock Blast,water,water,electric,76,125.2,121.7,117,76.8
ghost,poison,Shadow Claw,Shadow Punch,Sludge Bomb,flying,flying,flying,94,156.6,94.3,97,80.7,dark,steel,Metal Sound,Foul Play,Iron Head,water,water,electric,983,126.8,112.8,123,80.3
electric,fire,Thunder Shock,Overheat,Thunderbolt,flying,flying,flying,479,129.2,143.2,93,67.5,ghost,none,Astonish,Night Shade,Power Gem,water,water,electric,864,146.2,111.1,94,65.8
water,rock,Water Gun,Liquidation,Ancient Power,flying,flying,flying,565,121.8,127.9,118,63.2,psychic,none,Charge Beam,Psycho Boost,Swift,water,water,electric,386,140.8,131.6,86,47.8
bug,water,Fury Cutter,X-Scissor,Aqua Jet,flying,flying,flying,768,125.2,133.6,107,91.9,water,none,Mud Slap,Mud Bomb,Body Slam,water,water,electric,422,99.2,100.8,166,68.4
grass,none,Magical Leaf,Ancient Power,Energy Ball,flying,flying,flying,153,105.6,141.6,141,72.3,rock,steel,Spark,Rock Slide,Zap Cannon,water,water,electric,476,96.8,200.0,119,73.5
psychic,none,Charge Beam,Psycho Boost,Swift,flying,flying,flying,386,140.8,131.6,86,47.8,water,none,Dragon Breath,Hydro Pump,Blizzard,water,water,electric,117,132.6,114.5,111,53.8
ghost,grass,Astonish,Grass Knot,Foul Play,flying,flying,flying,710,113.4,115.1,133,78.7,ground,ghost,Shadow Claw,Rock Tomb,Shadow Ball,water,water,electric,867,112.2,168.3,106,89.2
steel,psychic,Bullet Punch,Meteor Mash,Earthquake,flying,flying,flying,376,132.8,123.6,102,66.2,water,none,Waterfall,Hydro Pump,Blizzard,water,water,electric,594,96.7,98.8,240,73.9
rock,flying,Quick Attack,Ancient Power,Dragon Claw,flying,flying,flying,566,160.1,76.0,115,62.0,ghost,poison,Shadow Claw,Shadow Punch,Sludge Bomb,water,water,electric,94,156.6,94.3,97,80.7
electric,none,Thunder Shock,Wild Charge,Shadow Ball,flying,flying,flying,243,130.9,110.1,118,79.4,grass,none,Vine Whip,Frenzy Plant,Aerial Ace,water,water,electric,497,110.2,143.6,128,84.2
water,fairy,Water Gun,Surf,Nature's Madness,flying,flying,flying,788,115.3,155.3,108,77.9,dark,flying,Snarl,Dark Pulse,Aerial Ace,water,water,electric,630,92.3,149.2,176,91.8
fire,none,Ember,Fire Punch,Return,flying,flying,flying,5,127.1,109.1,127,70.9,psychic,none,Charge Beam,Psyshock,Dazzling Gleam,electric,psychic,fairy,517,105.9,89.9,166,46.6
rock,ground,Mud Slap,Stone Edge,Dig,flying,flying,flying,75,122.9,127.3,117,67.1,water,none,Bubble,Aqua Jet,Razor Shell,electric,psychic,fairy,341,131.1,95.8,117,61.4
fire,none,Incinerate,Rock Slide,Overheat,flying,flying,flying,555,151.3,71.4,137,69.5,fighting,none,Low Kick,Rock Tomb,Brick Break,electric,psychic,fairy,532,125.2,85.7,164,48.2
water,none,Dragon Breath,Hydro Pump,Blizzard,flying,flying,flying,117,132.6,114.5,111,53.8,bug,steel,Bug Bite,Drill Run,Razor Shell,fighting,rock,fighting,589,133.9,116.8,107,77.1
fire,fighting,Fire Spin,Blaze Kick,Blast Burn,flying,flying,flying,257,144.4,90.8,118,72.2,bug,none,Tackle,Bug Buzz,Thunderbolt,fighting,rock,fighting,313,111.1,136.8,132,55.0
psychic,grass,Magical Leaf,Seed Bomb,Leaf Storm,flying,flying,flying,251,120.5,119.4,129,61.7,ground,steel,Mud Shot,Rock Slide,Earthquake,fighting,rock,fighting,618,101.8,127.9,169,85.3
water,none,Bubble,Crabhammer,X-Scissor,flying,flying,flying,99,143.9,115.0,93,62.7,ground,steel,Mud Slap,Mud Bomb,Iron Head,fighting,rock,fighting,51,148.9,111.5,90,79.1
water,none,Bubble,Razor Shell,Water Pulse,flying,flying,flying,98,148.1,110.4,92,58.2,normal,none,Charm,Wild Charge,Disarming Voice,fighting,rock,fighting,301,112.7,115.2,153,68.1
grass,flying,Leafage,Brave Bird,Seed Bomb,flying,flying,flying,723,112.3,116.8,152,74.1,fire,fighting,Fire Spin,Blaze Kick,Blast Burn,fighting,rock,fighting,257,144.4,90.8,118,72.2
ground,none,Mud Slap,Bone Club,Return,flying,flying,flying,104,88.2,133.6,127,69.8,steel,rock,Metal Sound,Rock Tomb,Thunder,fighting,rock,fighting,306,116.1,154.0,107,80.8
ground,dragon,Dragon Tail,Scorching Sands,Dragon Claw,flying,flying,flying,330,129.2,109.6,123,79.0,steel,psychic,Metal Sound,Psyshock,Payback,steel,rock,electric,437,111.3,151.8,119,86.7
normal,flying,Wing Attack,Sky Attack,Night Shade,flying,flying,flying,164,105.3,120.2,167,76.8,fire,none,Fire Spin,Flamethrower,Flame Charge,steel,rock,electric,815,139.0,102.3,113,63.6
ghost,grass,Hex,Shadow Ball,Seed Bomb,flying,flying,flying,711,116.6,147.0,112,80.6,electric,fighting,Thunder Shock,Brick Break,Wild Charge,steel,rock,electric,923,144.5,94.3,113,79.0
fighting,none,Counter,Close Combat,Triple Axel,flying,flying,flying,237,121.7,151.3,100,74.5,ghost,poison,Shadow Claw,Shadow Punch,Ice Punch,steel,rock,electric,93,161.2,85.5,100,80.3
rock,fairy,Rock Throw,Power Gem,Rock Slide,flying,flying,flying,719,119.2,175.2,89,67.4,fire,fighting,Ember,Flamethrower,Low Sweep,steel,fire,fighting,391,129.6,95.4,139,68.8
bug,fire,Ember,Flame Charge,Bug Buzz,flying,flying,flying,636,131.7,99.2,130,66.7,ground,none,Mud Slap,Drill Run,Rock Tomb,fire,fire,fighting,529,139.5,81.9,141,74.9
ground,dragon,Dragon Tail,Scorching Sands,Dragon Claw,flying,flying,flying,330,129.2,109.6,123,79.0,ground,none,Mud Slap,Bone Club,Rock Slide,fire,fire,fighting,105,110.8,145.0,126,89.5
steel,ground,Thunder Fang,Psychic Fangs,Breaking Swipe,flying,flying,flying,208,98.4,185.2,124,91.4,rock,ground,Bite,Ancient Power,Dig,fire,fire,fighting,247,121.1,112.7,136,55.5
grass,none,Vine Whip,Frenzy Plant,Aerial Ace,flying,flying,flying,497,110.2,143.6,128,84.2,water,none,Water Gun,Aqua Jet,Ice Beam,fire,fire,fighting,8,107.9,137.8,139,80.6
fire,none,Ember,Flame Charge,Stomp,flying,flying,flying,77,134.8,109.4,113,71.1,ice,ground,Powder Snow,Icicle Spear,High Horsepower,fire,fire,fighting,221,121.1,98.2,155,82.1
electric,ghost,Astonish,Thunderbolt,Ominous Wind,flying,flying,flying,479,133.6,123.0,102,69.3,normal,flying,Bullet Seed,Drill Peck,Rock Blast,ice,ice,ground,733,137.3,96.8,122,60.5
normal,flying,Air Slash,Sky Attack,Hyper Beam,flying,flying,flying,521,139.2,96.2,120,48.6,electric,fire,Thunder Shock,Overheat,Thunderbolt,ice,ice,ground,479,129.2,143.2,93,67.5
grass,none,Vine Whip,Body Slam,Energy Ball,flying,flying,flying,651,115.4,130.0,129,74.1,grass,flying,Leafage,Brave Bird,Seed Bomb,ice,ice,ground,723,112.3,116.8,152,74.1
ground,dragon,Dragon Tail,Scorching Sands,Dragon Claw,flying,flying,flying,330,129.2,109.6,123,79.0,electric,fighting,Thunder Shock,Brick Break,Wild Charge,ice,ice,ground,923,144.5,94.3,113,79.0
bug,grass,Bug Bite,Energy Ball,Bug Buzz,flying,flying,flying,413,109.9,146.8,126,66.6,poison,flying,Air Slash,Poison Fang,Shadow Ball,ice,ice,ground,169,121.8,115.7,130,68.9
psychic,none,Confusion,Swift,Future Sight,flying,flying,flying,482,152.6,91.4,105,56.6,fairy,steel,Fairy Wind,Play Rough,Flash Cannon,ice,ice,ground,958,104.2,134.4,149,86.2
ice,none,Lock On,Blizzard,Thunder,flying,flying,flying,378,103.7,180.2,115,78.7,normal,flying,Air Slash,Fly,Close Combat,ice,ice,ground,628,134.3,94.1,132,63.8
water,none,Water Gun,Aqua Tail,Crunch,flying,flying,flying,367,131.5,126.3,102,70.7,fire,rock,Fire Fang,Wild Charge,Rock Slide,ice,ice,ground,59,132.4,100.0,127,66.0
fighting,none,Tackle,Body Slam,Crunch,flying,flying,flying,674,123.3,100.2,147,57.9,steel,none,Lock On,Focus Blast,Zap Cannon,ice,ice,ground,379,95.5,189.6,130,86.3
psychic,flying,Air Slash,Aerial Ace,Future Sight,flying,flying,flying,178,132.9,107.3,118,56.0,normal,none,Shadow Claw,Aerial Ace,Thunder,ice,ice,ground,432,125.5,105.5,133,72.4
water,dragon,Dragon Breath,Outrage,Octazooka,flying,flying,flying,230,121.8,126.1,119,70.3,rock,water,Fury Cutter,Cross Chop,Stone Edge,ice,ice,ground,689,120.4,133.1,115,84.2
fire,none,Fire Spin,Thunder Punch,Flamethrower,flying,flying,flying,631,133.3,91.6,136,69.5,water,flying,Wing Attack,Weather Ball (Water),Hurricane,flying,water,flying,279,123.3,128.7,114,79.3
grass,none,Vine Whip,Body Slam,Seed Bomb,flying,flying,flying,650,105.0,101.7,136,59.0,ghost,ground,Astonish,Scorching Sands,Shadow Ball,flying,water,flying,769,113.4,111.8,135,69.4
fire,fighting,Ember,Blast Burn,Rock Slide,flying,flying,flying,500,137.9,79.9,147,68.4,rock,none,Smack Down,Stone Edge,Rock Blast,flying,water,flying,524,114.3,105.0,135,55.0
bug,rock,Fury Cutter,X-Scissor,Rock Slide,flying,flying,flying,558,120.9,134.1,114,81.9,grass,none,Magical Leaf,Triple Axel,High Jump Kick,flying,water,flying,763,131.6,119.9,108,64.6
ghost,grass,Hex,Shadow Ball,Seed Bomb,flying,flying,flying,711,116.6,147.0,112,80.6,ghost,none,Psywave,Dark Pulse,Shadow Sneak,flying,water,flying,200,124.1,119.0,122,73.8
normal,flying,Air Slash,Sky Attack,Hyper Beam,flying,flying,flying,521,139.2,96.2,120,48.6,grass,dark,Snarl,Leaf Blade,Foul Play,flying,water,flying,275,134.2,87.7,142,73.6
fighting,none,Poison Jab,Body Slam,Brick Break,flying,flying,flying,539,141.0,99.8,113,63.5,water,psychic,Psywave,Surf,Power Gem,flying,water,flying,121,132.2,121.8,104,79.7
rock,ground,Bite,Ancient Power,Dig,flying,flying,flying,247,121.1,112.7,136,55.5,grass,none,Bullet Seed,Aerial Ace,Petal Blizzard,flying,water,flying,556,136.8,93.6,128,56.5
ghost,fire,Incinerate,Flame Charge,Shadow Ball,flying,flying,flying,609,151.4,106.9,91,67.4,bug,rock,Fury Cutter,X-Scissor,Stone Edge,flying,water,flying,900,144.2,105.1,102,77.1
normal,none,Rollout,Body Slam,Thunderbolt,flying,flying,flying,241,105.4,135.5,148,81.7,grass,none,Fury Cutter,Frenzy Plant,Breaking Swipe,flying,water,flying,254,136.9,108.5,110,77.3
fighting,none,Low Kick,High Jump Kick,Brick Break,flying,flying,flying,619,143.6,93.8,116,36.3,grass,none,Magical Leaf,Grass Knot,Seed Flare,flying,water,flying,492,117.9,122.3,131,64.6
bug,rock,Smack Down,Rock Tomb,X-Scissor,flying,flying,flying,557,111.8,120.2,127,61.2,rock,ice,Powder Snow,Weather Ball (Ice),Thunderbolt,flying,water,flying,698,114.3,104.2,164,80.0
ice,flying,Ice Shard,Triple Axel,Ancient Power,flying,flying,flying,144,113.2,143.6,122,70.7,fighting,none,Tackle,Body Slam,Crunch,ice,ice,electric,674,123.3,100.2,147,57.9
water,none,Charm,Aqua Jet,Disarming Voice,flying,flying,flying,729,124.8,115.4,123,63.5,normal,none,Sucker Punch,Swift,Trailblaze,ice,ice,electric,162,116.1,105.4,158,89.5
bug,fire,Ember,Flame Charge,Bug Buzz,flying,flying,flying,636,131.7,99.2,130,66.7,grass,poison,Acid,Seed Bomb,Sludge Bomb,ice,ice,electric,43,122.7,106.7,120,68.9
fighting,flying,Counter,Fly,Brave Bird,flying,flying,flying,145,135.2,106.2,115,69.6,normal,none,Mud Shot,Body Slam,Trailblaze,ice,ice,electric,820,107.5,110.7,175,80.6
bug,electric,Fury Cutter,Discharge,Lunge,flying,flying,flying,596,139.0,93.8,124,79.3,grass,dragon,Dragon Breath,Fly,Seed Bomb,ice,ice,electric,841,138.8,100.8,115,66.1
grass,none,Fury Cutter,Leaf Blade,Superpower,flying,flying,flying,754,126.9,114.6,121,86.5,fire,flying,Incinerate,Fly,Brave Bird,ice,ice,electric,663,122.1,114.7,131,85.4
fairy,none,Charm,Thunderbolt,Draining Kiss,flying,flying,flying,682,105.0,107.6,168,76.5,water,fighting,Counter,Scald,Icy Wind,ice,ice,electric,62,116.5,119.7,138,79.8
fairy,none,Fairy Wind,Moonblast,Trailblaze,flying,flying,flying,671,120.1,142.1,109,83.4,rock,fairy,Rock Throw,Power Gem,Moonblast,ice,ice,electric,703,84.9,247.9,126,90.3
dark,none,Shadow Claw,Foul Play,Sludge Bomb,flying,flying,flying,571,157.9,86.9,103,67.0,bug,none,Fury Cutter,X-Scissor,Drill Run,ice,ice,electric,588,127.7,85.7,127,71.4
grass,fighting,Vine Whip,Frenzy Plant,Superpower,flying,flying,flying,652,119.9,124.6,125,82.4,ice,water,Powder Snow,Surf,Body Slam,ice,ice,electric,364,108.6,113.2,167,84.2
fire,ghost,Ember,Fire Punch,Wild Charge,flying,flying,flying,157,139.6,105.1,109,77.3,rock,none,Smack Down,Stone Edge,Rock Blast,ice,ice,electric,524,114.3,105.0,135,55.0
fighting,none,Counter,Ice Punch,Thunder Punch,flying,flying,flying,107,128.2,137.3,98,69.8,water,dark,Snarl,Night Slash,Scald,ice,ice,electric,342,144.5,96.9,110,71.1
electric,steel,Volt Switch,Wild Charge,Mirror Shot,flying,flying,flying,462,134.9,120.1,102,83.4,rock,ice,Powder Snow,Weather Ball (Ice),Thunderbolt,ice,ice,electric,698,114.3,104.2,164,80.0
normal,none,Tackle,Body Slam,Trailblaze,flying,flying,flying,916,118.1,102.8,156,73.2,poison,flying,Air Slash,Poison Fang,Shadow Ball,ice,ice,electric,169,121.8,115.7,130,68.9
bug,none,Fury Cutter,Close Combat,X-Scissor,flying,flying,flying,127,141.3,111.5,101,76.9,water,grass,Bubble,Scald,Grass Knot,ice,ice,electric,271,106.7,112.6,142,61.8
poison,none,Acid,Dark Pulse,Sludge Wave,bug,fighting,bug,24,123.7,120.1,121,69.6,fire,none,Karate Chop,Fire Punch,Thunderbolt,ice,ice,electric,467,141.4,103.4,108,76.3
ice,none,Ice Shard,Avalanche,Icy Wind,bug,fighting,bug,471,137.2,124.1,96,63.0,normal,none,Hex,Weather Ball (Rock),Energy Ball,ice,ice,electric,351,113.4,119.6,146,80.6
fighting,none,Tackle,Body Slam,Crunch,bug,fighting,bug,674,123.3,100.2,147,57.9,water,ghost,Hex,Surf,Shadow Ball,ice,ice,electric,593,106.7,124.3,157,92.8
dark,steel,Metal Sound,Foul Play,Iron Head,bug,fighting,bug,983,126.8,112.8,123,80.3,water,psychic,Water Gun,Surf,Psychic,ice,ice,electric,199,113.4,120.9,143,67.2
fighting,none,Karate Chop,Rage Fist,Close Combat,bug,fighting,bug,57,140.2,99.2,115,89.6,dragon,none,Dragon Breath,Aqua Tail,Thunder Punch,ice,ice,electric,706,119.7,136.8,114,85.5
ice,ground,Powder Snow,Icicle Spear,High Horsepower,bug,fighting,bug,473,136.2,87.4,137,76.7,psychic,none,Confusion,Psyshock,Dazzling Gleam,ice,ice,electric,857,123.2,115.3,127,62.8
water,none,Water Gun,Surf,Water Pulse,bug,fighting,bug,817,137.9,91.4,128,58.9,fire,ghost,Incinerate,Torch Song,Shadow Ball,ice,ice,electric,911,121.2,109.2,139,84.5
fairy,none,Charm,Moonblast,Thunderbolt,bug,fighting,bug,683,116.5,108.0,153,77.8,fighting,flying,Poison Jab,Flying Press,Aerial Ace,ice,ice,electric,701,128.9,108.8,124,78.9
bug,rock,Fury Cutter,X-Scissor,Rock Slide,bug,fighting,bug,558,120.9,134.1,114,81.9,fire,none,Incinerate,Flame Charge,Wild Charge,ice,ice,electric,78,134.7,110.9,111,77.9
normal,none,Astonish,Crunch,Disarming Voice,bug,fighting,bug,295,119.8,98.4,158,68.3,flying,dark,Sucker Punch,Fly,Rock Tomb,ice,ice,electric,962,128.0,115.3,118,80.9
normal,none,Mud Shot,Body Slam,Trailblaze,bug,fighting,bug,820,107.5,110.7,175,80.6,grass,none,Tackle,Body Slam,Seed Bomb,ice,ice,electric,387,112.6,105.0,135,52.3
ground,none,Mud Slap,Bone Club,Return,bug,fighting,bug,104,88.2,133.6,127,69.8,flying,dragon,Air Slash,Hurricane,Draco Meteor,ice,ice,electric,715,126.4,110.7,127,51.6
ice,none,Lock On,Blizzard,Thunder,bug,fighting,bug,378,103.7,180.2,115,78.7,normal,none,Mud Slap,Stomp,Crunch,ice,ice,electric,115,115.9,112.8,148,77.3
dark,fighting,Feint Attack,Upper Hand,Foul Play,bug,fighting,bug,559,120.4,122.1,126,70.4,water,rock,Bubble,Power Gem,Rock Blast,ice,ice,electric,222,109.3,141.6,133,72.0
normal,none,Fury Cutter,Close Combat,Night Slash,bug,fighting,bug,335,144.8,87.1,122,78.2,bug,poison,Confusion,Sludge Bomb,Silver Wind,ice,ice,electric,269,95.0,148.7,142,64.5
bug,steel,Fury Cutter,X-Scissor,Techno Blast (Normal),bug,fighting,bug,649,141.1,111.7,100,82.6,electric,fairy,Thunder Shock,Parabolic Charge,Play Rough,ice,ice,electric,702,124.2,108.7,133,90.3
ground,flying,Mud Shot,Earth Power,Rock Slide,bug,fighting,bug,645,139.9,100.5,114,70.2,bug,steel,Bullet Punch,Night Slash,Trailblaze,steel,dark,grass,212,137.9,110.3,106,87.2
bug,rock,Fury Cutter,X-Scissor,Rock Slide,bug,fighting,bug,558,120.9,134.1,114,81.9,steel,fairy,Fairy Wind,Iron Head,Play Rough,steel,dark,grass,303,125.9,121.2,117,77.4
electric,fighting,Thunder Shock,Wild Charge,Thunder Punch,bug,fighting,bug,922,136.1,81.5,142,78.0,rock,ground,Rock Throw,Rock Tomb,Rock Slide,steel,dark,grass,74,123.5,123.5,113,66.0
rock,none,Counter,Stone Edge,Psychic Fangs,bug,fighting,bug,745,134.3,101.0,123,63.6,steel,none,Metal Sound,Mirror Shot,Zap Cannon,steel,dark,grass,601,124.9,140.2,102,68.2
dragon,ice,Ice Fang,Avalanche,Dragon Claw,bug,fighting,bug,998,136.2,96.2,125,74.5,water,flying,Air Slash,Fly,Ice Beam,steel,dark,grass,581,129.3,99.7,134,66.9
steel,psychic,Confusion,Doom Desire,Dazzling Gleam,bug,fighting,bug,385,120.5,119.4,129,74.7,water,none,Water Gun,Ice Punch,Crunch,steel,dark,grass,159,118.8,118.8,134,70.8
fire,none,Ember,Flame Charge,Dig,bug,fighting,bug,156,127.1,109.1,127,67.7,ground,dark,Mud Slap,Crunch,Earthquake,steel,dark,grass,553,133.9,94.8,132,72.9
fairy,none,Vine Whip,Dazzling Gleam,Psychic,bug,fighting,bug,670,114.3,133.7,128,71.6,fighting,none,Tackle,Body Slam,Crunch,steel,dark,grass,674,123.3,100.2,147,57.9
dragon,none,Dragon Breath,Aqua Tail,Thunder Punch,bug,fighting,bug,706,119.7,136.8,114,85.5,poison,normal,Mud Slap,Poison Fang,Sludge Bomb,steel,dark,grass,945,134.9,106.5,115,77.7
normal,none,Tackle,Trailblaze,Horn Attack,bug,fighting,bug,128,125.1,118.9,120,66.4,dragon,psychic,Dragon Breath,Mist Ball,Thunder,steel,dark,grass,380,124.5,137.9,105,64.0
fighting,none,Counter,Close Combat,Triple Axel,bug,fighting,bug,237,121.7,151.3,100,74.5,psychic,none,Psywave,Dynamic Punch,Shadow Ball,steel,dark,grass,326,114.5,128.3,133,88.9
bug,grass,Bug Bite,Energy Ball,Silver Wind,fighting,fighting,ice,541,106.7,147.9,133,72.1,water,none,Water Gun,Water Pulse,Silver Wind,steel,dark,grass,457,109.5,137.2,136,70.9
fire,flying,Incinerate,Brave Bird,Earthquake,fighting,fighting,ice,250,123.6,128.2,114,73.5,ground,psychic,Mud Slap,Rock Tomb,Ice Beam,steel,dark,grass,344,102.7,173.3,121,88.4
poison,dark,Bite,Crunch,Trailblaze,fighting,fighting,ice,434,114.3,88.2,147,62.6,bug,flying,Gust,Aerial Ace,Bug Buzz,steel,dark,grass,666,133.0,84.5,150,63.4
psychic,none,Psywave,Dynamic Punch,Shadow Ball,fighting,fighting,ice,326,114.5,128.3,133,88.9,bug,none,Tackle,Silver Wind,Dazzling Gleam,steel,dark,grass,314,111.1,136.8,132,58.5
