Pokemon,WinTypes,LoseTypes,WinFastMoves,LoseFastMoves,WinChargedMoves,LoseChargedMoves
Honchkrow,"['Grass', 'Dark']",['Normal'],{'Feint Attack': 3},{'Sand Attack': 4},"{'Leaf Blade': 3, 'Foul Play': 3}","{'Wild Charge': 4, 'Crunch': 4}"
Nuzleaf,"['Grass', 'Dragon']","['Dark', 'Flying', 'Rock', 'Ground']",{'Dragon Breath': 2},"{'Snarl': 3, 'Rock Throw': 3}","{'Fly': 2, 'Seed Bomb': 2}","{'Brave Bird': 3, 'Dark Pulse': 3, 'Breaking Swipe': 3, 'Stone Edge': 3}"
Porygon2,"['Normal', 'Fire', 'Fighting']","['Fire', 'Flying', 'Rock', 'Electric']","{'Lick': 4, 'Ember': 4}","{'Air Slash': 2, 'Rollout*': 2}","{'Swift': 4, 'Cross Chop': 4, 'Flame Charge': 4, 'Rock Slide': 4}","{'Air Cutter': 2, 'Aerial Ace': 2, 'Wild Charge': 2, 'Rock Blast': 2}"
Teddiursa,"['Fire', 'Normal', 'Normal']","['Normal', 'Steel']","{'Incinerate': 3, 'Fury Cutter': 2}","{'Lock On': 4, 'Shadow Claw': 4, 'Sucker Punch': 2}","{'Flame Charge': 3, 'Dark Pulse': 3, 'Close Combat': 2, 'Night Slash': 2}","{'Tri Attack': 4, 'Zap Cannon': 4, 'Close Combat': 4, 'Trailblaze': 4, 'Rock Tomb': 2, 'Shadow Ball': 2}"
Sudowoodo,"['Normal', 'Flying', 'Grass', 'Flying']",[],"{'Wing Attack': 2, 'Magical Leaf': 3}",{},"{'Air Cutter': 2, 'Aerial Ace': 2, 'Grass Knot': 3, 'Energy Ball': 3}",{}
Pidgeotto,"['Grass', 'Poison', 'Grass', 'Poison', 'Fighting']","['Rock', 'Normal', 'Fairy']","{'Vine Whip': 3, 'Poison Jab': 3}","{'Counter': 2, 'Charm': 1}","{'Frenzy Plant*': 3, 'Sludge Bomb': 3, 'Brick Break': 3, 'Stone Edge': 3}","{'Meteor Beam': 2, 'Trailblaze': 2, 'Icy Wind': 1, 'Swift': 1}"
Sliggoo,"['Rock', 'Ground', 'Grass', 'Poison', 'Rock', 'Water']","['Dragon', 'Ground', 'Normal']","{'Rock Throw': 3, 'Fury Cutter': 4, 'Poison Jab': 2, 'Mud Shot': 2}","{'Mud Shot': 2, 'Zen Headbutt': 2}","{'Breaking Swipe': 3, 'Stone Edge': 3, 'Psyshock': 4, 'Return': 4, 'Sludge Bomb': 2, 'Petal Blizzard': 2, 'Rock Slide*': 2, 'Hydro Pump': 2}","{'Dig': 2, 'Flamethrower': 2, 'Dazzling Gleam': 2, 'Psychic': 2}"
Onix,"['Grass', 'Dark', 'Water', 'Flying', 'Poison', 'Dark']","['Dragon', 'Water', 'Ground']","{'Feint Attack': 3, 'Wing Attack': 2, 'Poison Jab': 3}","{'Water Gun': 3, 'Mud Shot': 3, 'Acid': 4}","{'Leaf Blade': 3, 'Foul Play': 3, 'Aerial Ace': 2, 'Ice Beam': 2, 'Crunch': 3, 'Trailblaze': 3}","{'Muddy Water': 3, 'Dragon Pulse': 3, 'Hydro Cannon*': 3, 'Sludge': 3, 'Leaf Blade': 4, 'Dazzling Gleam': 4}"
Sharpedo,"['Bug', 'Poison', 'Ground', 'Ghost']","['Water', 'Ice', 'Ground', 'Flying']","{'Confusion': 3, 'Shadow Claw': 1}","{'Ice Shard*': 3, 'Fury Cutter': 4}","{'Sludge Bomb': 3, 'Silver Wind': 3, 'Rock Tomb': 1, 'Shadow Ball': 1}","{'Icy Wind*': 3, 'Drill Run': 3, 'Earthquake': 4, 'Aerial Ace': 4}"
Dustox,[],"['Water', 'Dark', 'Water', 'Ground']",{},"{'Waterfall': 3, 'Mud Slap': 3}",{},"{'Crunch': 3, 'Poison Fang': 3, 'Body Slam': 3, 'Earth Power': 3}"
Fuecoco,"['Grass', 'Normal', 'Grass', 'Grass', 'Flying']",[],"{'Magical Leaf': 2, 'Tackle': 3, 'Fairy Wind': 3}",{},"{'Grass Knot': 2, 'Seed Flare*': 2, 'Wild Charge': 3, 'Trailblaze': 3, 'Aerial Ace': 3, 'Energy Ball': 3}",{}
Shaymin (Land),"['Dark', 'Steel', 'Water', 'Fighting']",['Fire'],"{'Fury Cutter': 2, 'Counter*': 2}",{'Incinerate': 2},"{'Night Slash': 2, 'X-Scissor': 2, 'Scald': 2, 'Icy Wind': 2}","{'Crunch': 2, 'Flamethrower': 2}"
Tsareena,"['Electric', 'Water', 'Psychic', 'Electric', 'Water', 'Normal', 'Flying']","['Bug', 'Fighting']","{'Thunder Shock': 3, 'Hidden Power (Psychic)': 4, 'Peck': 4}",{'Counter': 3},"{'Thunderbolt': 3, 'Hydro Pump': 3, 'Psyshock': 4, 'Night Shade': 4, 'Drill Peck': 4, 'Rock Blast': 4}","{'Superpower': 3, 'Lunge': 3}"
Rotom (Wash),[],"['Grass', 'Grass', 'Water', 'Electric', 'Water', 'Psychic']",{},"{'Magical Leaf': 3, 'Poison Jab': 4, 'Bubble': 3, 'Water Gun': 4}",{},"{'Triple Axel': 3, 'High Jump Kick*': 3, 'Crunch': 4, 'Sludge Bomb': 4, 'Thunderbolt': 3, 'Water Pulse': 3, 'Surf*': 4, 'Ice Beam': 4}"
Zygarde (10% Forme),"['Rock', 'Flying', 'Fire', 'Flying', 'Grass']",[],"{'Wing Attack': 3, 'Ember': 1, 'Bullet Seed': 2}",{},"{'Ancient Power': 3, 'Dragon Claw': 3, 'Fly': 1, 'Aerial Ace': 1, 'Grass Knot': 2, 'Energy Ball': 2}",{}
Archeops,"['Fire', 'Dark', 'Psychic', 'Flying', 'Grass', 'Fairy']","['Dragon', 'Ground', 'Water', 'Dark', 'Ghost']","{'Snarl': 2, 'Dragon Tail': 2, 'Fairy Wind': 2}","{'Dragon Tail': 3, 'Poison Jab*': 3, 'Shadow Claw': 3}","{'Darkest Lariat': 2, 'Blast Burn*': 2, 'Fly': 2, 'Aeroblast*': 2, 'Seed Bomb': 2, 'Moonblast': 2}","{'Crunch': 3, 'Earthquake': 3, 'Drill Run*': 3, 'Icy Wind*': 3, 'Foul Play': 3, 'Power Gem': 3}"
Gabite,"['Rock', 'Dragon']","['Water', 'Flying', 'Psychic', 'Poison', 'Rock', 'Grass']","{'Mud Slap': 2, 'Water Gun': 2}","{'Wing Attack': 3, 'Confusion': 2, 'Poison Sting': 2, 'Dragon Tail': 4, 'Acid': 2}","{'Rock Slide': 2, 'Bulldoze': 2, 'Muddy Water': 2, 'Dragon Pulse': 2}","{'Aerial Ace': 3, 'Ice Beam': 3, 'Swift': 2, 'Future Sight': 2, 'Poison Fang': 2, 'Thunderbolt': 2, 'Dragon Claw': 4, 'Brick Break': 4, 'Rock Tomb': 2, 'Grass Knot': 2}"
Boldore,"['Normal', 'Flying', 'Psychic']","['Dragon', 'Ground', 'Water', 'Psychic', 'Fighting', 'Rock', 'Fairy']","{'Wing Attack': 3, 'Mud Slap': 4, 'Bullet Seed': 4, 'Confusion': 2}","{'Mud Shot': 2, 'Water Gun': 2, 'Psycho Cut': 2, 'Rock Throw': 2}","{'Brave Bird': 3, 'Aerial Ace': 4, 'Crunch': 4, 'Earthquake': 4, 'Petal Blizzard': 4, 'Shadow Ball': 2, 'Psychic': 2}","{'Dig': 2, 'Flamethrower': 2, 'Aqua Tail': 2, 'Crunch': 2, 'Close Combat': 2, 'Leaf Blade': 2, 'Power Gem': 2, 'Moonblast': 2}"
Ambipom,"['Dragon', 'Psychic', 'Water', 'Fighting']",['Ice'],"{'Dragon Breath': 1, 'Counter*': 2}",{},"{'Mist Ball*': 1, 'Thunder': 1, 'Scald': 2, 'Icy Wind': 2}",{}
Latias,"['Dragon', 'Ice']","['Normal', 'Steel', 'Ice']","{'Scratch': 4, 'Ice Fang': 4}","{'Astonish': 1, 'Thunder Shock': 2, 'Ice Fang': 1}","{'Dragon Claw': 4, 'Aqua Tail': 4, 'Avalanche': 4}","{'Aerial Ace': 1, 'Return': 1, 'Thunderbolt': 2, 'Flash Cannon': 2, 'Ice Punch': 1, 'Ice Beam': 1}"
Lycanroc (Dusk),['Ghost'],"['Water', 'Ground', 'Water']",{'Shadow Claw': 3},"{'Mud Shot': 3, 'Water Gun': 3}","{'Shadow Ball': 3, 'Dazzling Gleam': 3}","{'Aqua Tail*': 3, 'Stone Edge': 3, 'Weather Ball (Water)': 3, 'Thunder': 3}"
Banette,[],"['Rock', 'Poison', 'Psychic']",{},"{'Sucker Punch': 3, 'Acid': 3}",{},"{'Stone Edge': 3, 'Trailblaze': 3, 'Surf*': 3, 'Shadow Ball': 3}"
Tyranitar,"['Ghost', 'Grass', 'Water']",[],"{'Hex': 4, 'Acid': 3, 'Ice Fang': 3}",{'Ice Fang': 1},"{'Shadow Ball': 4, 'Dark Pulse': 4, 'Leaf Blade': 3, 'Dazzling Gleam': 3, 'Bubble Beam': 3, 'Scald': 3}","{'Avalanche': 1, 'Dragon Claw': 1}"
Polteageist,"['Fighting', 'Psychic']","['Rock', 'Dark']",{'Psycho Cut': 2},{'Smack Down*': 4},"{'Ice Punch': 2, 'Dynamic Punch': 2}","{'Brutal Swing': 4, 'Stone Edge': 4}"
Seel,"['Dark', 'Fighting']",[],"{'Snarl': 2, 'Karate Chop*': 2}",{},"{'Brutal Swing*': 2, 'Megahorn': 2, 'Cross Chop': 2, 'Stone Edge*': 2}",{}
Absol,"['Fighting', 'Poison']",['Water'],{'Shadow Claw': 3},{'Water Gun*': 2},"{'Close Combat': 3, 'Aerial Ace': 3}","{'Aqua Tail': 2, 'Icy Wind': 2}"
Simisear,"['Normal', 'Flying', 'Steel', 'Ice', 'Steel']","['Ground', 'Bug', 'Electric', 'Ground', 'Ice', 'Ghost', 'Water', 'Fairy', 'Water', 'Ice']","{'Air Slash': 2, 'Shadow Claw': 1, 'Shadow Claw*': 1}","{'Poison Sting': 4, 'Mud Slap': 2, 'Volt Switch*': 3, 'Hex': 3, 'Water Gun': 4, 'Ice Shard*': 3}","{'Fly': 2, 'Close Combat': 1, 'Trailblaze': 1, 'Ice Punch': 1, 'Drill Run': 1}","{'Earthquake': 4, 'Stone Edge': 4, 'Bone Club': 2, 'Return': 2, 'X-Scissor': 3, 'Fly': 3, 'Return': 2, 'Avalanche': 3, 'Shadow Ball': 3, 'Surf': 4, ""Nature's Madness*"": 4, 'Icy Wind*': 3, 'Drill Run': 3}"
Braviary,"['Fighting', 'Flying', 'Grass', 'Fighting']","['Fire', 'Rock', 'Grass']","{'Poison Jab': 1, 'Force Palm': 3}","{'Fire Spin': 2, 'Acid': 3}","{'Flying Press': 1, 'Aerial Ace': 1, 'Dynamic Punch': 3, 'Grass Knot*': 3}","{'Crunch': 2, 'Flamethrower': 2, 'Ancient Power': 3, 'Grass Knot': 3}"
Cinderace,['Water'],[],{'Charm': 3},{},"{'Aqua Jet': 3, 'Disarming Voice': 3}",{}
Brionne,['Poison'],"['Fire', 'Rock']",{'Poison Jab': 2},"{'Fire Spin': 3, 'Lock On': 3}","{'Sludge Bomb': 2, 'Fell Stinger': 2}","{'Flamethrower': 3, 'Flame Charge': 3, 'Stone Edge': 3, 'Focus Blast': 3}"
Exeggutor (Alolan),"['Water', 'Psychic', 'Fire', 'Dark', 'Fire', 'Dark', 'Normal']",[],"{'Water Gun': 1, 'Quick Attack': 1, 'Ember': 2, 'Snarl': 2}",{},"{'Body Slam': 2, 'Water Pulse': 1, 'V-Create': 1, 'Psychic': 1, 'Crunch': 2, 'Flamethrower': 2, 'Dig': 2}",{}
Clamperl,"['Ground', 'Ghost']","['Grass', 'Dragon', 'Fire', 'Fighting']",{'Shadow Claw': 3},"{'Dragon Tail': 1, 'Incinerate': 1, 'Counter': 1}","{'Rock Tomb': 3, 'Shadow Ball': 3}","{'Seed Bomb': 1, 'Draco Meteor*': 1, 'Rock Slide': 1, 'Overheat': 1, 'Ice Punch': 1, 'Thunder Punch': 1}"
Lycanroc (Midday),"['Dark', 'Fire', 'Water', 'Water']",[],"{'Ember': 2, 'Rollout': 2, 'Water Gun': 2, 'Shadow Claw': 4}",{},"{'Crunch': 2, 'Flamethrower': 2, 'Scald': 2, 'Body Slam': 2, 'Aqua Jet': 2, 'Aerial Ace': 2, 'Close Combat': 4, 'Trailblaze': 4}",{}
Houndour,[],"['Rock', 'Grass', 'Dragon', 'Psychic']",{},"{'Sucker Punch': 2, 'Bubble': 4, 'Dragon Tail': 2, 'Confusion': 4}",{},"{'Stone Edge': 2, 'Drill Run': 2, 'Razor Shell': 4, 'Water Pulse': 4, 'Seed Bomb': 2, 'Draco Meteor*': 2, 'Rock Slide': 4, 'Dark Pulse': 4}"
Lycanroc (Midnight),"['Bug', 'Flying']","[]",{'Quick Attack': 3},"{'Vine Whip': 4, 'Poison Jab': 4}","{'Aerial Ace': 3, 'Silver Wind': 3}","{'Frenzy Plant*': 4, 'Sludge Bomb': 4, 'Dragon Claw': 4}"
Yanma,"['Fire', 'Ghost', 'Grass']","['Rock']","{'Ember': 3, 'Hex': 1}","{'Counter': 3, 'Air Slash': 4}","{'Flame Charge': 3, 'Crunch': 3, 'Shadow Ball': 1, 'Seed Bomb': 1}","{'Stone Edge': 3, 'Psychic Fangs': 3, 'Air Cutter': 4, 'Lunge': 4}"
Espurr,"['Steel', 'Poison', 'Psychic']",[],"{'Metal Sound': 2, 'Shadow Claw': 3}",{},"{'Overheat': 2, 'Gyro Ball': 2, 'Wild Charge': 3, 'Psyshock': 3}",{}
Revavroom,"['Fairy', 'Steel', 'Fire', 'Bug', 'Bug', 'Steel']","['Psychic', 'Bug', 'Steel']","{'Fairy Wind': 3, 'Ember': 3, 'Bug Bite': 3}","{'Confusion': 2, 'Bug Bite': 3, 'Thunder Fang': 4}","{'Play Rough': 3, 'Bulldoze': 3, 'Lunge': 3, 'Crunch': 3, 'X-Scissor': 3, 'Stone Edge': 3}","{'Psyshock': 2, 'Energy Ball': 2, 'Drill Run': 3, 'Razor Shell*': 3, 'Psychic Fangs': 4, 'Wild Charge': 4}"
Masquerain,"['Fighting']","['Normal', 'Grass', 'Dragon']","{'Poison Jab': 3, 'Quick Attack': 4}","{'Sucker Punch': 3, 'Bullet Seed': 4, 'Astonish': 3}","{'Body Slam': 3, 'Brick Break': 3, 'Aerial Ace': 4, 'Silver Wind': 4}","{'Swift': 3, 'Trailblaze': 3, 'Power Whip': 4, 'Thunder': 4, 'Outrage': 3, 'Seed Bomb': 3}"
Sawk,"['Ground', 'Flying']","['Bug', 'Flying', 'Normal', 'Flying', 'Water', 'Steel', 'Dark', 'Dragon']",{'Fury Cutter': 2},"{'Air Slash': 3, 'Fury Cutter': 3, 'Thunder Shock': 3, 'Dragon Breath': 3}","{'Earthquake': 2, 'Aerial Ace': 2}","{'Air Cutter': 3, 'Lunge': 3, 'Leaf Blade': 3, 'Aerial Ace': 3, 'Aqua Tail': 3, 'X-Scissor': 3, 'Thunderbolt': 3, 'Flash Cannon': 3, 'Brutal Swing*': 3}"
Popplio,"['Water', 'Rock', 'Water', 'Flying']","['Rock', 'Rock', 'Electric']","{'Water Gun': 2, 'Wing Attack': 1, 'Thunder Shock*': 4}","{'Smack Down': 2, 'Volt Switch': 3}","{'Liquidation': 2, 'Ancient Power': 2, 'Aerial Ace': 1, 'Ice Beam': 1, 'Drill Peck': 4, 'Thunderbolt': 4}","{'Stone Edge': 3, 'Rock Blast': 3}"
Carracosta,"['Poison', 'Dark']","['Water', 'Dragon', 'Ice', 'Bug', 'Flying', 'Dark', 'Dragon']",{'Bite': 3},"{'Water Gun': 2, 'Dragon Breath': 3, 'Gust': 1}","{'Crunch': 3, 'Trailblaze': 3}","{'Aqua Tail': 2, 'Aqua Jet': 2, 'Avalanche': 1, 'Dragon Claw': 1, 'Aerial Ace': 1, 'Bug Buzz': 1, 'Dark Pulse': 3, 'Body Slam': 3}"
Raticate,"['Bug', 'Flying', 'Fairy', 'Fire', 'Grass']","['Ghost', 'Poison']","{'Gust': 4, 'Fairy Wind': 2, 'Ember': 2, 'Vine Whip': 3}",{'Shadow Claw': 2},"{'Aerial Ace': 4, 'Bug Buzz': 4, 'Moonblast': 2, 'Swift': 2, 'Weather Ball (Fire)': 2, 'Solar Beam': 2, 'Grass Knot': 3, 'Crunch': 3}","{'Shadow Punch': 2, 'Ice Punch': 2}"
Vivillon,"['Steel', 'Fairy', 'Water', 'Rock']","['Dark', 'Normal']","{'Thunder Shock': 2, 'Zen Headbutt': 2, 'Water Gun': 1}",{'Quick Attack': 4},"{'Thunderbolt': 2, 'Flash Cannon': 2, 'Disarming Voice': 2, 'Swift': 2, 'Liquidation': 1, 'Ancient Power': 1}","{'Crunch': 4, 'Return': 4}"
Stonjourner,"['Bug', 'Fairy', 'Normal']","['Normal', 'Flying']","{'Fairy Wind': 2, 'Quick Attack': 4}","{'Confusion': 1, 'Quick Attack': 1}","{'Dazzling Gleam': 2, 'Bug Buzz': 2, 'Swift': 4, 'Dig': 4}","{'Brutal Swing': 1, 'Trailblaze': 1, 'Brave Bird': 1, 'Fly': 1}"
Ribombee,['Normal'],"['Rock', 'Ground', 'Ice', 'Psychic']",{'Bite': 3},"{'Rock Throw': 2, 'Mud Slap': 2, 'Confusion': 3}","{'Stomp': 3, 'Disarming Voice': 3}","{'Stone Edge': 2, 'Rock Slide': 2, 'Mud Bomb': 2, 'Ice Punch': 3, 'Triple Axel': 3}"
Espeon,"['Ice', 'Water', 'Flying', 'Fighting']",['Water'],"{'Ice Shard': 2, 'Air Slash': 2, 'Force Palm': 2}",{'Bubble': 3},"{'Avalanche': 2, 'Icy Wind': 2, 'Fly': 2, 'Ice Beam': 2, 'Upper Hand': 2, 'Heavy Slam': 2}","{'Scald*': 3, 'Mud Bomb': 3}"
Glaceon,"['Bug', 'Steel']","['Psychic', 'Normal', 'Ghost', 'Water']",{'Bug Bite': 2},"{'Confusion': 2, 'Shadow Claw': 1, 'Water Gun': 4}","{'Bug Buzz': 2, 'Iron Head': 2}","{'Psychic Fangs': 2, 'Shadow Ball*': 2, 'Shadow Ball': 1, 'Foul Play': 1, 'Weather Ball (Water)': 4, 'Thunder': 4}"
Zebstrika,"['Psychic', 'Normal', 'Psychic']",[],"{'Confusion': 2, 'Dragon Tail': 4}",{},"{'Psyshock': 2, 'Dazzling Gleam': 2, 'Dragon Claw': 4, 'Aqua Tail': 4, 'Brutal Swing': 2, 'Trailblaze': 2}",{}
Hattrem,"['Psychic', 'Normal']","['Electric', 'Fighting', 'Dragon', 'Fighting', 'Water']","{'Hidden Power (Fighting)': 4, 'Sucker Punch': 3}","{'Spark': 2, 'Karate Chop*': 2, 'Dragon Tail': 2, 'Water Gun': 2}","{'Psyshock': 4, 'Shadow Ball': 4, 'Surf': 3, 'Grass Knot': 3}","{'Wild Charge': 2, 'Flame Charge': 2, 'Rage Fist*': 2, 'Close Combat': 2, 'Clanging Scales*': 2, 'Dragon Claw': 2, 'Aqua Tail': 2, 'Crunch': 2}"
Vanilluxe,"['Ice', 'Bug', 'Fire', 'Rock']",[],"{'Ice Fang': 4, 'Tackle': 3}",{},"{'Avalanche': 4, 'Superpower': 4, 'Bug Buzz': 3, 'Thunderbolt': 3}",{}
Darmanitan (Galarian),"['Dragon', 'Steel']","['Ice', 'Grass', 'Rock', 'Water']","{'Dragon Breath': 1, 'Confusion': 4, 'Metal Sound': 1}","{'Astonish': 4, 'Dragon Tail': 4, 'Rock Smash': 2, 'Fury Cutter': 4}","{'Flamethrower': 1, 'Twister': 1, 'Rock Slide': 4, 'Dark Pulse': 4, 'Thunderbolt': 1, 'Vise Grip': 1}","{'Avalanche*': 4, 'Flash Cannon': 4, 'Dragon Claw': 4, 'Brick Break': 4, 'Rock Slide': 2, 'Seed Bomb': 2, 'Cross Chop': 4, 'Stone Edge': 4}"
Stunky,"['Water', 'Psychic']","['Psychic', 'Bug', 'Poison', 'Water', 'Rock']","{'Bubble': 3, 'Poison Jab': 4, 'Confusion': 3}","{'Psywave': 3, 'Poison Sting': 4, 'Water Gun': 3}","{'Crabhammer': 3, 'X-Scissor': 3, 'Dragon Claw': 4, 'Sludge Bomb': 4, 'Swift': 3, 'Future Sight': 3}","{'Dynamic Punch': 3, 'Shadow Ball': 3, 'Lunge': 3, 'Trailblaze': 3, 'Sludge Bomb': 4, 'Dig': 4, 'Liquidation': 3, 'Ancient Power': 3}"
Kingler,"['Ghost', 'Ground', 'Ghost', 'Dark']","['Poison', 'Dark', 'Steel', 'Flying', 'Water']","{'Astonish': 2, 'Sucker Punch': 2}","{'Bite': 3, 'Air Slash': 3, 'Water Gun': 3}","{'Scorching Sands': 2, 'Shadow Ball': 2, 'Rock Tomb': 2}","{'Crunch': 3, 'Trailblaze': 3, 'Body Slam': 3, 'Iron Head': 3, 'Surf': 3, 'Water Pulse': 3}"
Meowstic (Male),['Normal'],['Electric'],{'Charm': 3},{'Volt Switch': 1},"{'Aqua Tail': 3, 'Thunderbolt': 3}","{'Thunder Punch': 1, 'Thunderbolt': 1}"
Cinccino,['Electric'],['Psychic'],{'Volt Switch': 3},{'Sucker Punch': 3},"{'Thunder Punch': 3, 'Thunderbolt': 3}","{'Psychic': 3, 'Thunderbolt': 3}"
Murkrow,"['Psychic', 'Poison', 'Fairy', 'Fire', 'Psychic', 'Fairy']",[],"{'Confusion': 1, 'Fairy Wind': 1, 'Ember': 2, 'Water Shuriken': 4, 'Psywave': 2}",{'Mud Shot': 3},"{'Swift': 1, 'Future Sight': 1, 'Sludge': 1, 'Brutal Swing': 1, 'Weather Ball (Fire)': 2, 'Solar Beam': 2, 'Hydro Cannon*': 4, 'Night Slash': 4, 'Shadow Ball': 2, 'Psychic': 2}","{'Earth Power': 3, 'Water Pulse': 3}"
Mesprit,['Dragon'],"['Dark', 'Flying', 'Psychic', 'Fighting', 'Dark', 'Water']",{'Dragon Breath*': 3},"{'Feint Attack': 1, 'Counter': 2, 'Sucker Punch': 1, 'Mud Shot': 3}","{'Dragon Energy*': 3, 'Breaking Swipe': 3}","{'Drill Peck': 1, 'Foul Play': 1, 'Psycho Boost': 2, 'Thunderbolt': 2, 'Brick Break': 1, 'Dynamic Punch': 1, 'Aqua Tail': 3, 'Horn Attack': 3}"
Archen,"['Normal', 'Flying']",[],"{'Air Slash': 2, 'Poison Sting': 4}",{'Charm': 3},"{'Aerial Ace': 2, 'Return': 2, 'Aqua Tail': 4, 'Shadow Ball': 4}","{'Wild Charge': 3, 'Disarming Voice': 3}"
Tranquill,[],"['Rock', 'Flying']",{},{'Quick Attack': 2},{},"{'Ancient Power': 2, 'Dragon Claw': 2}"
Pineco,"['Water', 'Grass']","['Ice', 'Steel']",{'Bubble': 3},{'Powder Snow': 2},"{'Scald': 3, 'Grass Knot': 3}","{'Night Slash': 2, 'Blizzard': 2}"
Lombre,"['Psychic', 'Grass', 'Poison', 'Fire']","['Bug', 'Dark', 'Psychic']","{'Zen Headbutt': 3, 'Acid': 3, 'Ember': 3}","{'Bug Bite': 3, 'Sucker Punch': 3, 'Confusion': 2}","{'Shadow Ball': 3, 'Return': 3, 'Leaf Blade': 3, 'Sludge Bomb': 3, 'Flame Charge': 3, 'Crunch': 3}","{'Rock Tomb': 3, 'Return': 3, 'Crunch': 3, 'Poison Fang': 3, 'Future Sight': 2, 'Psychic': 2}"
Celebi,"['Psychic', 'Dark']","['Bug', 'Steel']","{'Confusion': 2, 'Sucker Punch': 3}",{'Bullet Punch': 3},"{'Rock Slide': 2, 'Future Sight': 2, 'Night Slash': 3, 'Play Rough': 3}","{'Night Slash': 3, 'Trailblaze': 3}"
Gothitelle,"['Ghost', 'Fire']","['Psychic', 'Grass', 'Normal', 'Flying']",{'Ember': 4},"{'Magical Leaf*': 2, 'Air Slash': 2}","{'Energy Ball': 4, 'Flame Burst': 4}","{'Seed Bomb': 2, 'Leaf Storm': 2, 'Sky Attack': 2, 'Hyper Beam': 2}"
Rotom (Mow),"['Dark', 'Grass', 'Steel', 'Fairy', 'Fighting']",[],"{'Feint Attack': 1, 'Rock Smash': 2, 'Fairy Wind': 1, 'Low Kick': 1}",{'Vine Whip': 4},"{'Foul Play': 1, 'Play Rough': 1, 'Rock Slide': 2, 'Seed Bomb': 2, 'Iron Head': 1, 'Body Slam': 1, 'Brick Break': 1}","{'Frenzy Plant*': 4, 'Earthquake': 4}"
Persian (Alolan),[],"['Electric', 'Grass', 'Poison', 'Dragon']",{},"{'Thunder Shock': 1, 'Poison Jab': 2}",{},"{'Thunderbolt': 1, 'Ominous Wind': 1, 'Dragon Claw': 2, 'Sludge Bomb': 2}"
Sigilyph,['Water'],[],{'Water Gun': 4},{},"{'Surf': 4, 'Crunch': 4}",{}
Simipour,[],"['Psychic', 'Flying', 'Poison', 'Flying', 'Electric', 'Fighting', 'Ice']",{'Charm': 2},"{'Air Slash': 4, 'Wing Attack': 3, 'Volt Switch': 2, 'Karate Chop': 3, 'Powder Snow': 3}","{'Icy Wind': 2, 'Swift': 2}","{'Air Cutter': 4, 'Ancient Power': 4, 'Poison Fang': 3, 'Shadow Ball': 3, 'Thunder Punch': 2, 'Thunderbolt': 2, 'Cross Chop': 3, 'Return': 3, 'Weather Ball (Ice)': 3, 'Blizzard': 3}"
Skorupi,"['Ground', 'Normal']","['Bug', 'Grass', 'Psychic']","{'Tackle': 3, 'Sucker Punch': 3, 'Quick Attack': 4}","{'Bug Bite': 2, 'Counter': 3}","{'Trailblaze': 3, 'Body Slam': 3, 'Aerial Ace': 4, 'Ice Beam': 3, 'Leaf Blade': 4}","{'Energy Ball': 2, 'Silver Wind': 2, 'Return': 3, 'Mirror Coat': 3}"
Phanpy,['Electric'],"['Poison', 'Bug', 'Poison']",{'Thunder Shock': 3},"{'Poison Sting': 3, 'Poison Jab': 3}","{'Thunder Punch': 3, 'Brick Break': 3}","{'Aqua Tail': 3, 'Cross Poison': 3, 'Poison Fang': 3, 'Wrap': 3}"
Plusle,"['Electric', 'Ice', 'Normal', 'Flying']","['Rock', 'Bug', 'Fire', 'Ghost', 'Grass']","{'Thunder Shock': 3, 'Fury Cutter': 3}","{'Fury Cutter': 2, 'Fire Spin': 2, 'Bullet Seed': 2}","{'Thunderbolt': 3, 'Blizzard': 3, 'Leaf Blade': 3, 'Aerial Ace': 3}","{'Rock Blast': 2, 'Liquidation': 2, 'Bone Club': 2, 'Shadow Bone*': 2, 'Weather Ball (Fire)': 2, 'Solar Beam': 2}"
Rotom (Frost),"['Fire', 'Ground', 'Electric', 'Fire', 'Ghost']","['Electric', 'Poison', 'Water']","{'Incinerate': 1, 'Mud Slap': 2, 'Acid': 1, 'Ember': 2}","{'Quick Attack': 3, 'Poison Jab': 2}","{'Crunch': 1, 'Flamethrower': 1, 'Bone Club': 2, 'Return': 2, 'Discharge': 1, 'Fire Punch': 2, 'Wild Charge': 2}","{'Thunderbolt': 3, 'Grass Knot': 3, 'Brine': 2, 'Sludge Wave': 2}"
Corphish,['Ground'],[],{'Sand Attack': 3},{},"{'Scorching Sands': 3, 'Crunch': 3}",{}
Trapinch,[],['Water'],{},{'Bubble': 3},{},"{'Aqua Jet': 3, 'Razor Shell': 3}"
Persian,"['Bug', 'Rock']",[],{'Smack Down': 2},{'Incinerate': 4},"{'Rock Tomb': 2, 'X-Scissor': 2}","{'Flame Charge': 4, 'Dark Pulse': 4}"
Dwebble,[],"['Normal', 'Electric', 'Flying', 'Electric']",{},"{'Feint Attack': 2, 'Thunder Shock*': 3, 'Thunder Shock': 3}",{},"{'Night Slash*': 2, 'Power Gem': 2, 'Drill Peck': 3, 'Thunderbolt': 3, 'Wild Charge': 3, 'Shadow Ball': 3}"
